file,category,size_bytes,source_url
recovered/core_sys_images_main_contents_radio_ttl_bno.gif,Banner,919,https://wwws.warnerbros.co.jp/anime/kamimemo/recovered/core_sys_images_main_contents_radio_ttl_bno.gif
recovered/anime_kamimemo_core_sys_images_main_contents_radio_ttl_bno.gif,Banner,919,https://wwws.warnerbros.co.jp/anime/kamimemo/recovered/anime_kamimemo_core_sys_images_main_contents_radio_ttl_bno.gif
recovered/anime_kamimemo_core_sys_images_main_contents_radio_bt_shityo_32back_off.gif,Banner,3228,https://wwws.warnerbros.co.jp/anime/kamimemo/recovered/anime_kamimemo_core_sys_images_main_contents_radio_bt_shityo_32back_off.gif
recovered/core_sys_images_main_contents_radio_bt_shityo_32back_off.gif,Banner,3228,https://wwws.warnerbros.co.jp/anime/kamimemo/recovered/core_sys_images_main_contents_radio_bt_shityo_32back_off.gif
core_sys/images/style_parts/bg/common/r10_wh.gif,Other,89,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/r10_wh.gif
core_sys/images/style_parts/bg/common/dot1_wh.gif,Other,63,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot1_wh.gif
core_sys/images/style_parts/bg/common/dot1_bk.gif,Other,63,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot1_bk.gif
core_sys/images/style_parts/bg/common/dot1_gl01.gif,Other,63,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot1_gl01.gif
core_sys/images/style_parts/bg/common/dot1_gl02.gif,Other,63,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot1_gl02.gif
core_sys/images/style_parts/bg/common/r5_wh.gif,Other,61,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/r5_wh.gif
core_sys/images/style_parts/bg/common/dot2_wh.gif,Other,69,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot2_wh.gif
core_sys/images/style_parts/bg/common/dot2_bk.gif,Other,69,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot2_bk.gif
core_sys/images/style_parts/bg/common/dot2_gl02.gif,Other,69,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot2_gl02.gif
core_sys/images/style_parts/bg/common/dot2_gl01.gif,Other,69,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/common/dot2_gl01.gif
core_sys/images/style_parts/bg/ti/grd01_gr.gif,Other,315,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd01_gr.gif
core_sys/images/style_parts/bg/ti/grd02_bg.gif,Other,481,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd02_bg.gif
core_sys/images/style_parts/bg/ti/grd04_kh.gif,Other,313,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd04_kh.gif
core_sys/images/style_parts/bg/ti/grd02_or.gif,Other,471,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd02_or.gif
core_sys/images/style_parts/bg/ti/grd03_gr.gif,Other,440,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd03_gr.gif
core_sys/images/style_parts/bg/ti/grd04_gl.gif,Other,313,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd04_gl.gif
core_sys/images/style_parts/bg/ti/grd02_kh.gif,Other,480,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd02_kh.gif
core_sys/images/style_parts/bg/ti/grd04_bg.gif,Other,313,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd04_bg.gif
core_sys/images/style_parts/bg/ti/grd01_bk.gif,Other,320,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd01_bk.gif
core_sys/images/style_parts/bg/ti/grd03_bl.gif,Other,445,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd03_bl.gif
core_sys/images/style_parts/bg/ti/grd01_bl.gif,Other,315,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd01_bl.gif
core_sys/images/style_parts/bg/ti/grd02_gl.gif,Other,359,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd02_gl.gif
core_sys/images/style_parts/bg/ti/grd04_or.gif,Other,312,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd04_or.gif
core_sys/images/style_parts/bg/ti/grd03_bg.gif,Other,440,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd03_bg.gif
core_sys/images/style_parts/bg/ti/grd01_or.gif,Other,315,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd01_or.gif
core_sys/images/style_parts/bg/ti/grd04_bl.gif,Other,313,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd04_bl.gif
core_sys/images/style_parts/bg/ti/grd02_gr.gif,Other,482,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/bg/ti/grd02_gr.gif
