url,type,page,recovery_method
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/banner/00000001.jpg%3F1484183770,img,https://wwws.warnerbros.co.jp/anime/kamimemo/index.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000001/block/00000079/00000142.jpg%3F1484183772,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0009/index00010000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000001/block/00000078/00000141.jpg%3F1484183772,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0009/index00010000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000001/block/00000077/00000140.jpg%3F1484183772,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0009/index00010000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000001/block/00000074/00000137.gif%3F1484183772,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0009/index00010000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000001/block/00000072/00000135.gif%3F1484183772,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0009/index00010000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000001/block/00000028/00000040.jpg%3F1484183772,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0009/index00010000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000035/00000055.gif%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000056.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000057.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000058.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000059.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000060.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000061.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000032/00000048.gif%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000049.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000050.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000051.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000052.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000053.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/block/00000033/00000054.jpg%3F1484183775,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00100000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000050/00000090.gif%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000051/00000091.jpg%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000051/00000092.jpg%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000051/00000093.jpg%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000051/00000094.jpg%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000051/00000095.jpg%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/block/00000051/00000096.jpg%3F1484183786,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00160000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000053/00000097.gif%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000054/00000098.jpg%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000054/00000099.jpg%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000054/00000100.jpg%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000054/00000101.jpg%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000054/00000102.jpg%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/block/00000054/00000103.jpg%3F1484183790,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00170000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000056/00000104.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000057/00000105.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000057/00000106.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000057/00000107.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000057/00000108.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000057/00000109.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/block/00000057/00000110.gif%3F1484183793,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00180000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/block/00000059/00000111.gif%3F1484183797,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00190000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/block/00000060/00000112.jpg%3F1484183797,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00190000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/block/00000060/00000113.jpg%3F1484183797,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00190000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/block/00000060/00000114.jpg%3F1484183797,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00190000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/block/00000060/00000115.jpg%3F1484183797,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00190000.html,HTTP 404
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/block/00000060/00000116.jpg%3F1484183797,img,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00190000.html,HTTP 404
